provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,access,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:40,,DEALLEGO000112,Type2,Allego,Unspecified,,,null,2,52.522056,13.198469,"{'streetAndNumber': 'Franzstr. 4', 'postalCode': '13595', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:41,,08002250,Type2,NewMotion,Unspecified,,,null,1,52.505024,13.375893,"{'streetAndNumber': 'Gabriele-Tergit-Promenade 19', 'postalCode': '10785', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:42,,DEALLEGO001179,Type2,Allego,Unspecified,,,null,2,52.514302,13.395583,"{'streetAndNumber': 'Jägerstr. 49', 'postalCode': '10117', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:42,,PP00423,Type2,innogy,FreePublic,,,null,2,52.523192,13.362577,"{'streetAndNumber': 'Alt-Moabit 5', 'postalCode': '10557', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:43,,DEALLEGO000231,TepcoCHAdeMO,Allego,Unspecified,,,null,3,52.588954,13.429102,"{'streetAndNumber': 'Zimbelstr. 4', 'postalCode': '13127', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:44,,DECPIL2830985,Type2,ChargePoint Inc.,Unspecified,,,null,2,52.577695,13.295623,"{'streetAndNumber': 'Holzhauser Str. 11-19', 'postalCode': '13509', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:45,,a74ba964-c911-4bb0-8b48-d31a3160d537,Type2,has.to.be,Restricted,,,null,1,52.538992,13.498442,"{'streetAndNumber': 'Genslerstraße 18', 'postalCode': '13055', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:46,,cd2b4b74-4802-4b83-97d9-0f164314140f,Type2,has.to.be,Restricted,,,null,1,52.538992,13.498442,"{'streetAndNumber': 'Genslerstraße 18', 'postalCode': '13055', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:47,,DEALLEGO000825,Type2Combo,Allego,Unspecified,,,null,3,52.662487,13.271321,"{'streetAndNumber': 'Kurt-Tucholsky-Str. 33e', 'postalCode': '16540', 'city': 'Hohen Neuendorf', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:48,,PP00418,Type2,innogy,FreePublic,,,null,2,52.505332,13.30013,"{'streetAndNumber': 'Windscheid Str. 20', 'postalCode': '10627', 'city': 'Berlin', 'country': 'DEU'}",
